ID,DepthDiving.m,DurationDiving.min,Depthzero,Mean.Max,CommonName,Binomial,Weight.kg,Lat,Lon,Family,Order,Location,Country,Type.Diving,Methods,Life stage,Chlorophyll.Concentration,Chorophyll.Concentration.SD,Surface.Temperature,Surface.Temperature.SD,Turbidity.Index,Turbidity.Index.SD,Comment,Conservation.Status,Foraging Reference,Birds of the World Reference,Weight Reference,
221,0,0,0,Max,Laysan Albatross,Phoebastria immutabilis,2.4,29,-118.2,Diomedeidae,Procellariiformes,Gaudalupe Island,Mexico,Surface.Seizing,Pellets,Chick-rearing,0.14,0.04201,19.195,1.677159,0.033167,0.004935831,Not thought to dive,NT,"Pitman, R. L., Walker, W. A., Everett, W. T. and Gallo–Reynoso, J. P. (2004). Population status, foods and foraging of Laysan
Albatross Phoebastria immutabilis nesting on Guadalupe Island, Mexico. Marine Ornithology. 32: 159-165.","Awkerman, J. A., D. J. Anderson, and G. C. Whittow (2020). Laysan Albatross (Phoebastria immutabilis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.layalb.01","Harrison, C. S., T. H. Hida and M. P. Seki. (1983). Hawaiian seabird feeding ecology. Wildlife Monographs 85:1-71.",
222,0,0,0,Mean,Laysan Albatross,Phoebastria immutabilis,2.4,29,-118.2,Diomedeidae,Procellariiformes,Gaudalupe Island,Mexico,Surface.Seizing,Pellets,Chick-rearing,0.14,0.04201,19.195,1.677159,0.033167,0.004935831,Not thought to dive,NT,"Pitman, R. L., Walker, W. A., Everett, W. T. and Gallo–Reynoso, J. P. (2004). Population status, foods and foraging of Laysan
Albatross Phoebastria immutabilis nesting on Guadalupe Island, Mexico. Marine Ornithology. 32: 159-165.","Awkerman, J. A., D. J. Anderson, and G. C. Whittow (2020). Laysan Albatross (Phoebastria immutabilis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.layalb.02","Harrison, C. S., T. H. Hida and M. P. Seki. (1983). Hawaiian seabird feeding ecology. Wildlife Monographs 85:1-71.",
223,2.5,1.97,1,Max,Black-footed Albatross,Phoebastria nigripes,2.8,27,142,Diomedeidae,Procellariiformes,Mukojima Islands,Japan,Surface.Seizing,Time-Depth Recorder,Chick-rearing,0.12,0.04961,25.01,2.760003,0.031483,0.007143444,,NT,"Kazama, K., Harada, T., Deguchi, T., Suzuki, H. and Watanuki, Y. (2019). Foraging Behavior of Black-Footed Albatross Phoebastria nigripes Rearing Chicks on the Ogasawara Islands. Ornithological Science. 18(1): 27-37. https://doi.org/10.2326/osj.18.27","Awkerman, J. A., D. J. Anderson, and G. C. Whittow (2020). Black-footed Albatross (Phoebastria nigripes), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.bkfalb.01",,
224,0.6,0.12,1,Mean,Black-footed Albatross,Phoebastria nigripes,2.8,27,142,Diomedeidae,Procellariiformes,Mukojima Islands,Japan,Surface.Seizing,Time-Depth Recorder,Chick-rearing,0.12,0.04961,25.01,2.760003,0.031483,0.007143444,,NT,"Kazama, K., Harada, T., Deguchi, T., Suzuki, H. and Watanuki, Y. (2019). Foraging Behavior of Black-Footed Albatross Phoebastria nigripes Rearing Chicks on the Ogasawara Islands. Ornithological Science. 18(1): 27-37. https://doi.org/10.2326/osj.18.28","Awkerman, J. A., D. J. Anderson, and G. C. Whittow (2020). Black-footed Albatross (Phoebastria nigripes), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.bkfalb.02",,
225,0,0,0,Max,Short-tailed Albatross,Phoebastria albatrus,7.5,59.33,-176.55,Diomedeidae,Procellariiformes,Bering Sea,Bering Sea,Scavenging,Bycatch analysis,Unknown,2.27,1.9584,3.971667,3.346009,0.178486,0.121551178,,VU,"Walker, W. A., Fitzgerald, S. M. and Collins, P. W. (2015). Stomach contents of seven Short-tailed Albatross Phoebastria albatrus in the eastern North Pacific and Bering Sea. Marine Ornithology. 43(2): 169–172.","Carboneras, C., F. Jutglar, and G. M. Kirwan (2020). Short-tailed Albatross (Phoebastria albatrus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.shtalb.01","Tickell, W.L.N. (2000). Albatrosses. Pica Press, Sussex, UK.",
226,0,0,0,Mean,Short-tailed Albatross,Phoebastria albatrus,7.5,59.33,-176.55,Diomedeidae,Procellariiformes,Bering Sea,Bering Sea,Scavenging,Bycatch analysis,Unknown,2.27,1.9584,3.971667,3.346009,0.178486,0.121551178,,VU,"Walker, W. A., Fitzgerald, S. M. and Collins, P. W. (2015). Stomach contents of seven Short-tailed Albatross Phoebastria albatrus in the eastern North Pacific and Bering Sea. Marine Ornithology. 43(2): 169–172.","Carboneras, C., F. Jutglar, and G. M. Kirwan (2020). Short-tailed Albatross (Phoebastria albatrus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.shtalb.02","Tickell, W.L.N. (2000). Albatrosses. Pica Press, Sussex, UK.",
227,0,0,0,Max,"Wilson's Storm-Petrel
",Oceanites oceanicus,0.05,-23.87,-23.87,Oceanitidae,Procellariiformes,Montão de Trigo,Brazil,Scavenging,Observation,Unknown,0.06,0.01984,25.1075,2.215282,0.024383,0.001744515,"Feeding with dolphins, thought to dive",LC,"Olmos, F., Rotenberg, E. and Muscat, E. A. (2013).Feeding association between Wilson’s Storm-petrels Oceanites oceanicus (Kuhl, 1820) and Rough-toothed Dolphins Steno bredanensis (G. Cuvier in Lesson, 1828). Biota Neotropica. 13(2): http://www.biotaneotropica.org.br/v13n2/en/abstractshortcommunication+bn01013022013","Drucker, J., C. Carboneras, F. Jutglar, and G. M. Kirwan (2020). Wilson's Storm-Petrel (Oceanites oceanicus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.wispet.01","Shirihai, H. (2007). A Complete Guide to Antarctic Wildlife. The Birds and Mammals of the Antarctic Continent and the Southern Ocean. 2nd edition. A.&C. Black, London.",
228,0,0,0,Mean,"Wilson's Storm-Petrel
",Oceanites oceanicus,0.05,-45.73,-45.73,Oceanitidae,Procellariiformes,Montão de Trigo,Brazil,Scavenging,Observation,Unknown,0.52,0.37515,11.1825,2.008559,0.069778,0.022257682,"Feeding with dolphins, thought to dive",LC,"Olmos, F., Rotenberg, E. and Muscat, E. A. (2013).Feeding association between Wilson’s Storm-petrels Oceanites oceanicus (Kuhl, 1820) and Rough-toothed Dolphins Steno bredanensis (G. Cuvier in Lesson, 1828). Biota Neotropica. 13(2): http://www.biotaneotropica.org.br/v13n2/en/abstractshortcommunication+bn01013022014","Drucker, J., C. Carboneras, F. Jutglar, and G. M. Kirwan (2020). Wilson's Storm-Petrel (Oceanites oceanicus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.wispet.01","Shirihai, H. (2007). A Complete Guide to Antarctic Wildlife. The Birds and Mammals of the Antarctic Continent and the Southern Ocean. 2nd edition. A.&C. Black, London.",
229,0,0,0,Max,White-faced Storm-Petrel,Pelagodroma marina,0.07,0,140,Oceanitidae,Procellariiformes,Eastern Tropical Pacific Ocean,Pacific Ocean,Pattering,Analysis of stomach,Unknown,0.12,0.02567,29.8525,0.483362,0.031236,0.002947295,Consuming sea skaters,LC,"Cheng, L., Spear, L.B. and Ainley, D.G. (2010). Importance of marine insects (Heteroptera: Gerridae, Halobates spp.) as prey of eastern tropical Pacific seabirds. Marine Ornithology. 38: 91–95.","Carboneras, C., F. Jutglar, and G. M. Kirwan (2020). White-faced Storm-Petrel (Pelagodroma marina), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.wfspet.01","Brooke, M. (2004). Albatrosses and Petrels Across the World. Oxford University Press, Oxford, United Kingdom.",
230,0,0,0,Mean,White-faced Storm-Petrel,Pelagodroma marina,0.07,0,140,Oceanitidae,Procellariiformes,Eastern Tropical Pacific Ocean,Pacific Ocean,Pattering,Analysis of stomach,Unknown,0.12,0.02567,29.8525,0.483362,0.031236,0.002947295,Consuming sea skaters,LC,"Cheng, L., Spear, L.B. and Ainley, D.G. (2010). Importance of marine insects (Heteroptera: Gerridae, Halobates spp.) as prey of eastern tropical Pacific seabirds. Marine Ornithology. 38: 91–95.","Carboneras, C., F. Jutglar, and G. M. Kirwan (2020). White-faced Storm-Petrel (Pelagodroma marina), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.wfspet.02","Brooke, M. (2004). Albatrosses and Petrels Across the World. Oxford University Press, Oxford, United Kingdom.",
231,0,0,0,Max,Tahiti Petrel,Pseudobulweria rostrata,0.5,2.5,-150,Procellariidae,Procellariiformes,Eastern Tropical Pacific Ocean,Pacific Ocean,Pattering,Analysis of stomach,Unknown,0.16,0.02714,27.8625,0.665229,0.038983,0.00424389,Consuming sea skaters,NT,"Cheng, L., Spear, L.B. and Ainley, D.G. (2010). Importance of marine insects (Heteroptera: Gerridae, Halobates spp.) as prey of eastern tropical Pacific seabirds. Marine Ornithology. 38: 91–95.","Carboneras, C., F. Jutglar, and G. M. Kirwan (2020). Tahiti Petrel (Pseudobulweria rostrata), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.","Brooke, M. (2004). Albatrosses and Petrels Across the World. Oxford University Press, Oxford, United Kingdom.",
232,0,0,0,Mean,Tahiti Petrel,Pseudobulweria rostrata,0.5,2.5,-150,Procellariidae,Procellariiformes,Eastern Tropical Pacific Ocean,Pacific Ocean,Pattering,Analysis of stomach,Unknown,0.16,0.02714,27.8625,0.665229,0.038983,0.00424389,Consuming sea skaters,NT,"Cheng, L., Spear, L.B. and Ainley, D.G. (2010). Importance of marine insects (Heteroptera: Gerridae, Halobates spp.) as prey of eastern tropical Pacific seabirds. Marine Ornithology. 38: 91–95.","Carboneras, C., F. Jutglar, and G. M. Kirwan (2020). Tahiti Petrel (Pseudobulweria rostrata), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.","Brooke, M. (2004). Albatrosses and Petrels Across the World. Oxford University Press, Oxford, United Kingdom.",
