ID,DepthDiving.m,DurationDiving.min,Depthzero,Mean.Max,CommonName,Binomial,Weight.kg,Lat,Lon,Family,Order,Location,Country,Type.Diving,Methods,Life stage,Chlorophyll.Concentration,Chorophyll.Concentration.SD,Surface.Temperature,Surface.Temperature.SD,Turbidity.Index,Turbidity.Index.SD,Comment,Conservation.Status,Foraging Reference,Birds of the World Reference,Weight Reference,
1,4.6,NA,1,Mean,Red-tailed Tropicbird,Phaeton rubricauda,0.8,-22.55,40.58,Phaethondidae,Phaethontiformes,Europa Island,France,Surface.Plunge,Maximum Diving Depth Recorder,Incubating,0.14,0.03946,26.5525,1.726716,0.033067,0.005532274,,LC,"Le Corre, M. (1997). Diving Depth of Two Tropical Pelecaniformes: The Red-Tailed Tropicbird and the Red-Footed Booby. The Condor, 1004–1007.","Schreiber, B. A. and R. W. Schreiber (2020). Red-tailed Tropicbird (Phaethon rubricauda), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rettro.01",,
2,12.43,NA,1,Max,Red-tailed Tropicbird,Phaeton rubricauda,0.8,-22.55,40.58,Phaethondidae,Phaethontiformes,Europa Island,France,Surface.Plunge,Maximum Diving Depth Recorder,Incubating,0.14,0.03946,26.5525,1.726716,0.033067,0.005532274,,LC,"Le Corre, M. (1997). Diving Depth of Two Tropical Pelecaniformes: The Red-Tailed Tropicbird and the Red-Footed Booby. The Condor, 1004–1007.","Schreiber, B. A. and R. W. Schreiber (2020). Red-tailed Tropicbird (Phaethon rubricauda), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rettro.01",,
3,318,7.55,1,Max,King Penguin,Aptenodytes patagonicus,11.5,-46.4,51.9,Spheniscidae,Sphenisciformes,Crozet Islands,France,Pursuit.Dive,PDT Data Logger,Breeding,0.3,0.12931,5.809,1.464251,0.0509,0.010658954,,LC,"Sato, K., Naito, Y., Kato, A., Niizuma, Y., Watanuki, Y., Charrassin, J. B., et al. (2002). Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology, 205(9), 1189–1197. http://doi.org/10.1111/j.1748-7692.1999.tb00856.x","Martínez, I., F. Jutglar, and E.F.J. Garcia (2020). King Penguin (Aptenodytes patagonicus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.kinpen1.01",,
4,65.6,NA,1,Max,Adelie Penguin,Pygoscelis adeliae,4,-66.7,140.5,Spheniscidae,Sphenisciformes,Petrel Island,Antarctica,Pursuit.Dive,PDT Data Logger,Breeding,0.23,0.14169,-0.47,0.098995,0.073067,0.013812073,,LC,"Sato, K., Naito, Y., Kato, A., Niizuma, Y., Watanuki, Y., Charrassin, J. B., et al. (2002). Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology, 205(9), 1189–1197. http://doi.org/10.1111/j.1748-7692.1999.tb00856.x","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Adelie Penguin (Pygoscelis adeliae), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.adepen1.01",,
5,145.9,NA,1,Max,Adelie Penguin,Pygoscelis adeliae,5,-66.7,140.5,Spheniscidae,Sphenisciformes,Petrel Island,Antarctica,Pursuit.Dive,PDT Data Logger,Breeding,0.23,0.14169,-0.47,0.098995,0.073067,0.013812073,,LC,"Sato, K., Naito, Y., Kato, A., Niizuma, Y., Watanuki, Y., Charrassin, J. B., et al. (2002). Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology, 205(9), 1189–1197. http://doi.org/10.1111/j.1748-7692.1999.tb00856.x","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Adelie Penguin (Pygoscelis adeliae), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.adepen1.02",,
6,438,16,1,Max,Emperor Penguin,Aptenodytes forsteri,46,-66.7,140.5,Spheniscidae,Sphenisciformes,Petrel Island,Antarctica,Pursuit.Dive,Time-Depth Recorder,Multiple,0.23,0.14169,-0.47,0.098995,0.073067,0.013812073,,NT,"Zimmer, I., Wilson, R. P., Beaulieu, M., Ropert-Coudert, Y., Kato, A., Ancel, A., & Plötz, J. (2010). Dive efficiency versus depth in foraging emperor penguins. Aquatic Biology, 8(3), 269–277. http://doi.org/10.3354/ab00213","Martínez, I., Christie, D.A., Jutglar, F. & Garcia, E.F.J. (2020). Emperor Penguin (Aptenodytes forsteri). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52457 on 10 May 2020).",,
7,68.83,NA,1,Mean,Emperor Penguin,Aptenodytes forsteri,46,-66.7,140.5,Spheniscidae,Sphenisciformes,Petrel Island,Antarctica,Pursuit.Dive,Time-Depth Recorder,Multiple,0.23,0.14169,-0.47,0.098995,0.073067,0.013812073,,NT,"Zimmer, I., Wilson, R. P., Beaulieu, M., Ropert-Coudert, Y., Kato, A., Ancel, A., & Plötz, J. (2010). Dive efficiency versus depth in foraging emperor penguins. Aquatic Biology, 8(3), 269–277. http://doi.org/10.3354/ab00213","Martínez, I., Christie, D.A., Jutglar, F. & Garcia, E.F.J. (2020). Emperor Penguin (Aptenodytes forsteri). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from https://www.hbw.com/node/52457 on 10 May 2020).",,
8,175,NA,1,Max,Adelie Penguin,Pygoscelis adeliae,8.2,-68.69,76.01,Spheniscidae,Sphenisciformes,Prydz Bay,Antarctica,Pursuit.Dive,Capillary Depth Gauge,Rearing Chicks,1.3,1.10472,0.816667,0.744737,0.1227,0.051494598,,LC,"Whitehead, M. D. (1989). Maximum Diving Depths of the Adelie Penguin, Pygoscelis adeliae, During the Chick Rearing Period, in Prydz Bay, Antarctica. Polar Biology, (9), 329–332.","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Adelie Penguin (Pygoscelis adeliae), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.adepen1.01",,
9,125,NA,1,Mean,Adelie Penguin,Pygoscelis adeliae,8.2,-68.69,76.01,Spheniscidae,Sphenisciformes,Prydz Bay,Antarctica,Pursuit.Dive,Capillary Depth Gauge,Rearing Chicks,1.3,1.10472,0.816667,0.744737,0.1227,0.051494598,"krill, Euphausia superba and E. crystallorophias, and the pelagic schooling fish, 331 Pleuragramma antarcticum (Puddicombe and Johnstone 1988; Green and Johnstone, 1988)",LC,"Whitehead, M. D. (1989). Maximum Diving Depths of the Adelie Penguin, Pygoscelis adeliae, During the Chick Rearing Period, in Prydz Bay, Antarctica. Polar Biology, (9), 329–332.","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Adelie Penguin (Pygoscelis adeliae), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.adepen1.01",,
10,168,NA,1,Max,Northern Rockhopper Penguin,Eudyptes moseleyi,4.3,-37.83,77.51,Spheniscidae,Sphenisciformes,Amsterdam Island,France,Pursuit.Dive,Capillary Depth Gauge,Rearing Chicks,0.26,0.07934,15.61417,2.315974,0.06108,0.00765454,,EN,"Tremblay, Y., Guinard, E. and Cherel, Y. (1997). Maximum diving depths of northern rockhopper penguins (Eudyptes chrysocome moseleyi) at Amsterdam Island. Polar Biology. 17(2):119-122","del Hoyo, J., N. Collar, and E.F.J. Garcia (2020). Moseley's Rockhopper Penguin (Eudyptes moseleyi), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rocpen4.01",,
11,66,NA,1,Mean,Northern Rockhopper Penguin,Eudyptes moseleyi,4.3,-37.83,77.51,Spheniscidae,Sphenisciformes,Amsterdam Island,France,Pursuit.Dive,Capillary Depth Gauge,Rearing Chicks,0.26,0.07934,15.61417,2.315974,0.06108,0.00765454,,EN,"Tremblay, Y., Guinard, E. and Cherel, Y. (1997). Maximum diving depths of northern rockhopper penguins (Eudyptes chrysocome moseleyi) at Amsterdam Island. Polar Biology. 17(2):119-122","del Hoyo, J., N. Collar, and E.F.J. Garcia (2020). Moseley's Rockhopper Penguin (Eudyptes moseleyi), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rocpen4.01",,
12,93,3.15,1,Max,Southern Rockhopper Penguin,Eudyptes chrysocome,3.8,-51.6,-57.7,Spheniscidae,Sphenisciformes,Falkland Islands,UK,Pursuit.Dive,Time-Depth Recorder,Incubating,0.93,0.26747,7.130833,2.182148,0.094675,0.016717803,,VU,"Pütz, K., Rey, A. R., Huin, N., Schiavini, A., Pütz, A., & Lüthi, B. H. (2005). Diving characteristics of southern rockhopper penguins (Eudyptes c. chrysocome) in the southwest Atlantic. Marine Biology, 149(2), 125–137.","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and G. M. Kirwan (2020). Southern Rockhopper Penguin (Eudyptes chrysocome), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rocpen1.01",,
13,25.1,NA,1,Mean,Southern Rockhopper Penguin,Eudyptes chrysocome,3.8,-51.6,-57.7,Spheniscidae,Sphenisciformes,Falkland Islands,UK,Pursuit.Dive,Time-Depth Recorder,Incubating,0.93,0.26747,7.130833,2.182148,0.094675,0.016717803,,VU,"Pütz, K., Rey, A. R., Huin, N., Schiavini, A., Pütz, A., & Lüthi, B. H. (2005). Diving characteristics of southern rockhopper penguins (Eudyptes c. chrysocome) in the southwest Atlantic. Marine Biology, 149(2), 125–137.","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and G. M. Kirwan (2020). Southern Rockhopper Penguin (Eudyptes chrysocome), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rocpen1.01",,
14,100.5,3.06,1,Max,Southern Rockhopper Penguin,Eudyptes chrysocome,3.8,-54.88,-64.75,Spheniscidae,Sphenisciformes,Staten Island,Argentina,Pursuit.Dive,Time-Depth Recorder,Incubating,0.84,0.25452,6.958333,1.200097,0.090378,0.024547188,,VU,"Pütz, K., Rey, A. R., Huin, N., Schiavini, A., Pütz, A., & Lüthi, B. H. (2005). Diving characteristics of southern rockhopper penguins (Eudyptes c. chrysocome) in the southwest Atlantic. Marine Biology, 149(2), 125–137.","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and G. M. Kirwan (2020). Southern Rockhopper Penguin (Eudyptes chrysocome), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rocpen1.01",,
15,27.1,NA,1,Mean,Southern Rockhopper Penguin,Eudyptes chrysocome,3.8,-54.88,-64.75,Spheniscidae,Sphenisciformes,Staten Island,Argentina,Pursuit.Dive,Time-Depth Recorder,Incubating,0.84,0.25452,6.958333,1.200097,0.090378,0.024547188,,VU,"Pütz, K., Rey, A. R., Huin, N., Schiavini, A., Pütz, A., & Lüthi, B. H. (2005). Diving characteristics of southern rockhopper penguins (Eudyptes c. chrysocome) in the southwest Atlantic. Marine Biology, 149(2), 125–137.","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and G. M. Kirwan (2020). Southern Rockhopper Penguin (Eudyptes chrysocome), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rocpen1.01",,
16,94.8,3.87,1,Max,Macaroni Penguin,Eudyptes chrysolophus,6.6,-54,-38.13,Spheniscidae,Sphenisciformes,"Bird Island, South Georgia",UK,Pursuit.Dive,Implanted Data Recorder,Breeding,0.72,0.39897,2.544,0.595004,0.0745,0.019894291,,VU,"Green, J. A., Butler, P. J., Woakes. A, J. and Boyd, I. L. (2003). Energetics of diving in macaroni penguins. Journal of Experimental Biology, 206(1), 43–57.","Martínez, I., D. A. Christie, and F. Jutglar (2020). Macaroni Penguin (Eudyptes chrysolophus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.macpen1.01",,
17,32,3.1,1,Max,Galapagos Penguin,Spheniscus mendiculus,2.2,-0.3,-91.6,Spheniscidae,Sphenisciformes,Galapagos Islands,Ecuador,Pursuit.Dive,Time-Depth Recorder,Unknown,0.93,0.38736,NA,NA,0.143,0.093731664,,EN,"Mills, K. L. (2000). DIVING BEHAVIOUR OF TWO GALÁPAGOS PENGUINS SPHENISCUS MENDICULUS. Marine Ornithology, 28, 75–79.","Carlson, A. L. and J. S. Townsdin (2020). Galapagos Penguin (Spheniscus mendiculus), version 1.0. In Birds of the World (T. S. Schulenberg, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.galpen1.01",,
18,4.1,NA,1,Mean,Galapagos Penguin,Spheniscus mendiculus,2.2,-0.3,-91.6,Spheniscidae,Sphenisciformes,Galapagos Islands,Ecuador,Pursuit.Dive,Time-Depth Recorder,Unknown,0.93,0.38736,NA,NA,0.143,0.093731664,,EN,"Mills, K. L. (2000). DIVING BEHAVIOUR OF TWO GALÁPAGOS PENGUINS SPHENISCUS MENDICULUS. Marine Ornithology, 28, 75–79.","Carlson, A. L. and J. S. Townsdin (2020). Galapagos Penguin (Spheniscus mendiculus), version 1.0. In Birds of the World (T. S. Schulenberg, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.galpen1.01",,
19,121,3,1,Max,Chinstrap Penguin,Pygoscelis antarctica,5.3,-60.98,-55.4,Spheniscidae,Sphenisciformes,"Seal Island, South Shetland Islands",Antarctica,Pursuit.Dive,Time-Depth Recorder,Rearing Chicks,0.4,0.24335,0.476667,0.585007,0.0841,0.033621125,,LC,"Bengtson, J. L., Croll, D. A. and Goebel, M. E. (1993) Diving behaviour of chinstrap penguins at Seal Island. Antarctic Science. 5 (I): 9-15 ","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Chinstrap Penguin (Pygoscelis antarcticus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.chipen2.01",,
20,31,NA,1,Mean,Chinstrap Penguin,Pygoscelis antarctica,5.3,-60.98,-55.4,Spheniscidae,Sphenisciformes,"Seal Island, South Shetland Islands",Antarctica,Pursuit.Dive,Time-Depth Recorder,Rearing Chicks,0.4,0.24335,0.476667,0.585007,0.0841,0.033621125,krill,LC,"Bengtson, J. L., Croll, D. A. and Goebel, M. E. (1993) Diving behaviour of chinstrap penguins at Seal Island. Antarctic Science. 5 (I): 9-15 ","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Chinstrap Penguin (Pygoscelis antarcticus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.chipen2.01",,
21,182.6,NA,1,Max,Gentoo Penguin,Pygoscelis papua,8.5,-62,-59,Spheniscidae,Sphenisciformes,"King George Island, South Shetland Islands",Antarctica,Pursuit.Dive,Time-Depth Recorder,Breeding,0.43,0.13618,0.09,0.448442,0.066886,0.01939892,,LC,"Lee, W. Y., Kokubun, N., Jung, J-W., Chung, H. and Kim, J-H. (2015) Diel diving behavior of breeding gentoo penguins on King George Island in Antarctica, Animal Cells and Systems, 19:(4) 274-281","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Gentoo Penguin (Pygoscelis papua), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.genpen1.01",,
22,16.5,NA,1,Mean,Gentoo Penguin,Pygoscelis papua,8.5,-62,-59,Spheniscidae,Sphenisciformes,"King George Island, South Shetland Islands",Antarctica,Pursuit.Dive,Time-Depth Recorder,Breeding,0.43,0.13618,0.09,0.448442,0.066886,0.01939892,,LC,"Lee, W. Y., Kokubun, N., Jung, J-W., Chung, H. and Kim, J-H. (2015) Diel diving behavior of breeding gentoo penguins on King George Island in Antarctica, Animal Cells and Systems, 19:(4) 274-281","Martínez, I., D. A. Christie, F. Jutglar, E.F.J. Garcia, and C.J. Sharpe (2020). Gentoo Penguin (Pygoscelis papua), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.genpen1.01",,
23,66.7,1.5,1,Max,Little Penguin,Eudyptula minor,1.02,-38.5,145.2,Spheniscidae,Sphenisciformes,Phillip Island,Australia,Pursuit.Dive,Time-Depth Accelerometer,Breeding,0.56,0.22149,16.24417,3.006809,0.081,0.023903511,,LC,"ROPERT-COUDERT, Y., CHIARADIA, A. & KATO, A. 2006. An exceptionally deep dive by a Little Penguin Eudyptula minor. Marine Ornithology 34: 71–74.","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Little Penguin (Eudyptula minor), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.litpen1.01",,
24,56,3.03,1,Max,Fiordland Penguin,Eudyptes pachyrhynchus,3,-43.86,168.88,Spheniscidae,Sphenisciformes,Tamauka Island,New Zealand,Pursuit.Dive,Multiple,Breeding,1.63,0.38626,14.58083,2.087937,0.196617,0.039126229,,VU,"Poupart, T. A., Waugh, S. M., Bost, C. A., Kato, A., Miskelly, C. M., Rogers, K. M. and Arnould, J. P. Y. (2019) Foraging ecology of a winter breeder, the Fiordland penguin. 614: 183–197","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Fiordland Penguin (Eudyptes pachyrhynchus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.fiopen1.01",,
25,22,NA,1,Mean,Fiordland Penguin,Eudyptes pachyrhynchus,3,-43.86,168.88,Spheniscidae,Sphenisciformes,Tamauka Island,New Zealand,Pursuit.Dive,Multiple,Breeding,1.63,0.38626,14.58083,2.087937,0.196617,0.039126229,,VU,"Poupart, T. A., Waugh, S. M., Bost, C. A., Kato, A., Miskelly, C. M., Rogers, K. M. and Arnould, J. P. Y. (2019) Foraging ecology of a winter breeder, the Fiordland penguin. 614: 183–197","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Fiordland Penguin (Eudyptes pachyrhynchus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.fiopen1.02",,
26,8.1,NA,1,Mean,Little Penguin,Eudyptula minor,1.2,-32.16,115.21,Spheniscidae,Sphenisciformes,Penguin Island,Australia,Pursuit.Dive,UME Logger,Breeding,0.24,0.10654,21.065,1.0984,0.044483,0.012388986,,LC,"Ropert-Coudert, Y., Kato, A., Naito, Y. and Cannell, B. L. (2003) Individual Diving Strategies in the Little Penguin. Waterbirds 26(4):403-408 ","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Little Penguin (Eudyptula minor), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.litpen1.01",,
27,35.3,NA,1,Max,Little Penguin,Eudyptula minor,2.1,41.02,174.27,Spheniscidae,Sphenisciformes,Motuara Island,New Zealand,Pursuit.Dive,Time-Depth Recorder,Breeding,0.21,0.05853,12.93909,4.572445,0.04392,0.006860645,,LC,"Chilvers, B. L. (2019) Variability of little blue penguin (Eudyptula minor) diving behaviour across New Zealand. New Zealand Journal of Ecology. 43(2): 3366","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Little Penguin (Eudyptula minor), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.litpen1.01",,
28,11.5,0.52,1,Mean,Little Penguin,Eudyptula minor,2.1,41.02,174.27,Spheniscidae,Sphenisciformes,Motuara Island,New Zealand,Pursuit.Dive,Time-Depth Recorder,Breeding,0.21,0.05853,12.93909,4.572445,0.04392,0.006860645,,LC,"Chilvers, B. L. (2019) Variability of little blue penguin (Eudyptula minor) diving behaviour across New Zealand. New Zealand Journal of Ecology. 43(2): 3366","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Little Penguin (Eudyptula minor), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.litpen1.01",,
29,57.9,2.08,1,Mean,Snares Penguin,Eudyptes robustus,4.3,-48.02,166.6,Spheniscidae,Sphenisciformes,The Snares,New Zealand,Pursuit.Dive,Time-Depth Recorder,Rearing Chicks,0.43,0.22455,11.80167,1.229012,0.064467,0.014379244,males,VU,"Mattern, T. (2007) Marine Ecology of Offshore and Inshore Foraging Penguins: the Snares Penguin Eudyptes Robustus and Yellow-eyed Penguin Megadyptes Antipodes. Australasian Digital Theses Program. University of Otago.","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Snares Penguin (Eudyptes robustus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.snapen1.01",,
30,61,2.01,1,Mean,Yellow-eyed Penguin,Megadyptes antipodes,8.9,-47.25,167.8,Spheniscidae,Sphenisciformes,Stewart Island,New Zealand,Pursuit.Dive,Time-Depth Recorder,Breeding,0.54,0.20273,12.56727,1.664068,0.072375,0.014489181,,EN,"Chilvers, B. L., Dobbins, M. L. and Edmonds, H. K.  (2014) Diving behaviour of yellow-eyed penguins, Port Pegasus/Pikihatiti, Stewart Island/Rakiura, New Zealand, New Zealand Journal of Zoology, 41(3): 161-170","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Yellow-eyed Penguin (Megadyptes antipodes), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.yeepen1.01",,
31,116,3.9,1,Max,Yellow-eyed Penguin,Megadyptes antipodes,8.9,-47.25,167.8,Spheniscidae,Sphenisciformes,Stewart Island,New Zealand,Pursuit.Dive,Time-Depth Recorder,Breeding,0.54,0.20273,12.56727,1.664068,0.072375,0.014489181,,EN,"Chilvers, B. L., Dobbins, M. L. and Edmonds, H. K.  (2014) Diving behaviour of yellow-eyed penguins, Port Pegasus/Pikihatiti, Stewart Island/Rakiura, New Zealand, New Zealand Journal of Zoology, 41(3): 161-170","Martínez, I., D. A. Christie, F. Jutglar, and E.F.J. Garcia (2020). Yellow-eyed Penguin (Megadyptes antipodes), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.yeepen1.02",,
32,156.3,4.25,1,Max,Macaroni Penguin,Eudyptes chrysolophus,6.6,-46,37,Spheniscidae,Sphenisciformes,Marion Island,South Africa,Pursuit.Dive,Time-Depth Recorder,Pre-moult,0.21,0.11442,7.145555,1.741975,0.047267,0.012439452,,VU,"Whitehead, T. O., Kato, A., Ropert-Coudert, Y. and Ryan, P. G. (2016) Habitat use and diving behaviour of macaroni Eudyptes chrysolophus and eastern rockhopper E-chrysocome filholi penguins during the critical pre-moult period. Marine Biology 163(1): 19","Martínez, I., D. A. Christie, and F. Jutglar (2020). Macaroni Penguin (Eudyptes chrysolophus), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.macpen1.01",,
33,226,7.5,1,Max,Royal Penguin,Eudyptes schlegeli,8.1,-54.5,159,Spheniscidae,Sphenisciformes,Macquarie Island,Australia,Pursuit.Dive,Time-Depth Recorder,Breeding,0.29,0.28341,5.444445,1.212148,0.054086,0.025489828,,NT,"Hull, C. L. (2000). Comparative diving behaviour and segregation of the marine habitat by breeding Royal Penguins, Eudyptes schlegeli, and eastern Rockhopper Penguins, Eudyptes chrysocome filholi, at Macquarie Island. Canadian Journal of Zoology, 78(3): 333–345.","Martínez, I., D. A. Christie, F. Jutglar, and C.J. Sharpe (2020). Royal Penguin (Eudyptes schlegeli), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.roypen1.01",,
